url,length,has_ip,num_dots,num_hyphens,has_at,label
"http://secure-login-paypal.com",30,0,1,2,0,1
"https://www.google.com",22,0,2,0,0,0
"http://192.168.1.1/admin/login",30,1,3,0,0,1
"https://github.com/login",24,0,1,0,0,0
"http://update-your-account.bank.com",35,0,2,2,0,1
"https://mail.google.com/mail/u/0/#inbox",39,0,2,0,0,0
"http://www.netflix-support-login.com",36,0,2,2,0,1
"https://aws.amazon.com/console/",31,0,2,0,0,0
"http://user:pass@172.16.0.4/login",33,1,3,0,1,1
"https://stackoverflow.com/questions",35,0,1,0,0,0
"http://free-iphone-winner.com/claim",35,0,1,2,0,1
"https://www.youtube.com/watch?v=dQw4w9WgXcQ",43,0,2,0,0,0
"http://login-appleid.apple.com.secure-update.info",49,0,4,2,0,1
"https://en.wikipedia.org/wiki/Main_Page",39,0,2,0,0,0
"http://10.0.0.1/verify_account",30,1,3,0,0,1
"https://www.linkedin.com/feed/",30,0,2,0,0,0
"http://secure.wellsfargo.com.login-update.net",45,0,4,1,0,1
"https://twitter.com/home",24,0,1,0,0,0
